               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092012,            0.044212,            0.071583,          0.00087481,            0.043203,          0.00064599,          0.00016279,            0.085607,            0.026087,            0.061724,            0.070116,           0.0033205,           0.0033205
                   1,            0.083144,            0.044808,            0.063235,           0.0028765,              0.1617,           0.0026774,          0.00079956,              0.0806,            0.035335,            0.059246,            0.040094,           0.0066318,           0.0066318
                   2,            0.070976,            0.046728,            0.059837,            0.013077,            0.065121,            0.006994,           0.0020489,              0.0774,            0.026957,            0.056716,             0.01005,           0.0099212,           0.0099212
                   3,            0.063756,            0.044591,            0.055546,               0.294,            0.072246,            0.045923,             0.01603,            0.061106,            0.027005,            0.046715,            0.009901,            0.009901,            0.009901
                   4,            0.060538,            0.043501,            0.050544,             0.19946,             0.15372,            0.082116,            0.030124,             0.05836,            0.027964,            0.042047,            0.009901,            0.009901,            0.009901
                   5,            0.058428,            0.042812,             0.04641,             0.29447,             0.21077,              0.1375,            0.051867,            0.056556,            0.025563,             0.03653,            0.009868,            0.009868,            0.009868
                   6,            0.057183,            0.042485,            0.043677,             0.27588,             0.23401,             0.15446,            0.060336,            0.055856,             0.02514,             0.03599,            0.009835,            0.009835,            0.009835
                   7,            0.055958,             0.04173,            0.041404,             0.27455,             0.26142,             0.18894,            0.077993,            0.053486,            0.024815,            0.032864,            0.009802,            0.009802,            0.009802
                   8,            0.054935,            0.041431,            0.039502,             0.30782,             0.27568,             0.21176,            0.090486,            0.051911,            0.024671,            0.030759,            0.009769,            0.009769,            0.009769
                   9,            0.054011,            0.040417,            0.038194,             0.30258,             0.30437,             0.23198,            0.099985,            0.051631,            0.025383,            0.028618,            0.009736,            0.009736,            0.009736
                  10,            0.053596,            0.040849,            0.036801,             0.33193,             0.31966,             0.25034,             0.10912,            0.050472,              0.0252,            0.027552,            0.009703,            0.009703,            0.009703
                  11,            0.052872,            0.040826,            0.035789,             0.33467,             0.35848,             0.28545,             0.12763,             0.04971,            0.024335,            0.025585,             0.00967,             0.00967,             0.00967
                  12,            0.052232,            0.040472,            0.034603,             0.37099,             0.34317,             0.30404,             0.13868,            0.049505,            0.023871,            0.025314,            0.009637,            0.009637,            0.009637
                  13,            0.051846,            0.040377,             0.03373,             0.38025,             0.34889,             0.30893,             0.14143,             0.04911,            0.023833,            0.024154,            0.009604,            0.009604,            0.009604
                  14,            0.051597,            0.040077,            0.033116,             0.40675,             0.35488,             0.32051,             0.14571,            0.048219,            0.023928,            0.023775,            0.009571,            0.009571,            0.009571
                  15,             0.05089,            0.039704,            0.032403,             0.41207,              0.3945,             0.35487,              0.1644,             0.04785,            0.023586,            0.022006,            0.009538,            0.009538,            0.009538
                  16,            0.050551,            0.039651,            0.031727,             0.44183,             0.39602,             0.37457,               0.181,            0.046959,            0.023109,            0.021793,            0.009505,            0.009505,            0.009505
                  17,            0.050259,            0.039643,            0.030992,             0.44048,             0.41459,             0.38903,             0.18626,            0.046625,            0.023256,            0.020421,            0.009472,            0.009472,            0.009472
                  18,            0.049921,            0.039705,            0.030554,             0.46295,             0.41728,             0.40163,             0.19304,            0.045926,            0.023217,            0.019951,            0.009439,            0.009439,            0.009439
                  19,             0.04964,            0.039151,            0.029976,              0.4841,               0.438,             0.43232,             0.21089,             0.04538,            0.022808,            0.019525,            0.009406,            0.009406,            0.009406
                  20,            0.049249,            0.038977,            0.029294,             0.47206,             0.43965,              0.4294,              0.2137,            0.044811,            0.022905,            0.019032,            0.009373,            0.009373,            0.009373
                  21,            0.049117,            0.039122,            0.028942,             0.48739,             0.44906,             0.44469,             0.22232,            0.044422,              0.0228,            0.018318,             0.00934,             0.00934,             0.00934
                  22,            0.048778,            0.039204,            0.028345,             0.48426,             0.46311,             0.44915,             0.22584,            0.044014,            0.022643,             0.01876,            0.009307,            0.009307,            0.009307
                  23,             0.04846,            0.038436,            0.028462,             0.52083,             0.47161,             0.47189,             0.23876,            0.043817,            0.022404,            0.017541,            0.009274,            0.009274,            0.009274
                  24,            0.048367,             0.03871,            0.027808,             0.52807,             0.47371,              0.4787,             0.24465,            0.043415,            0.022549,            0.017154,            0.009241,            0.009241,            0.009241
                  25,             0.04806,            0.038348,            0.027688,              0.5179,             0.47755,             0.47722,             0.24313,            0.043347,            0.022527,            0.017144,            0.009208,            0.009208,            0.009208
                  26,            0.047902,            0.038218,            0.027161,             0.55203,             0.49315,             0.49964,             0.25869,            0.043089,            0.022137,            0.016552,            0.009175,            0.009175,            0.009175
                  27,            0.047919,            0.038616,            0.026722,             0.54838,              0.5048,             0.51178,             0.26578,            0.042775,            0.022067,            0.015625,            0.009142,            0.009142,            0.009142
                  28,            0.047583,            0.038323,            0.026432,             0.55241,             0.49822,             0.51596,             0.26933,            0.042364,            0.022021,            0.015527,            0.009109,            0.009109,            0.009109
                  29,             0.04736,            0.038737,            0.025931,             0.57192,             0.50862,             0.52567,             0.27798,            0.041982,            0.021925,            0.014911,            0.009076,            0.009076,            0.009076
                  30,            0.047145,            0.037947,            0.025728,             0.57856,             0.51525,             0.53368,             0.28289,            0.041747,            0.021808,            0.014587,            0.009043,            0.009043,            0.009043
                  31,            0.047017,            0.037613,            0.025254,             0.58023,             0.52847,             0.53694,             0.28305,            0.041422,            0.021774,            0.014432,             0.00901,             0.00901,             0.00901
                  32,            0.046709,            0.037765,            0.025334,             0.57592,             0.52992,             0.54366,             0.28967,            0.041394,            0.021592,            0.014371,            0.008977,            0.008977,            0.008977
                  33,            0.046643,            0.037852,            0.025066,             0.58684,             0.53927,             0.55112,             0.29641,            0.041231,            0.021711,            0.014121,            0.008944,            0.008944,            0.008944
                  34,            0.046712,            0.037853,            0.024754,             0.58638,             0.53564,             0.55088,             0.29639,             0.04094,            0.021662,            0.013952,            0.008911,            0.008911,            0.008911
                  35,            0.046371,            0.037586,            0.024872,             0.58578,             0.53951,             0.55421,             0.29801,            0.040763,            0.021564,            0.013487,            0.008878,            0.008878,            0.008878
                  36,             0.04619,            0.038169,            0.024198,             0.61244,             0.53789,             0.56372,             0.30596,            0.040545,            0.021491,             0.01345,            0.008845,            0.008845,            0.008845
                  37,            0.046251,            0.037674,            0.024307,             0.59622,             0.55237,             0.56949,             0.31177,            0.040377,            0.021441,            0.013124,            0.008812,            0.008812,            0.008812
                  38,             0.04596,            0.037714,            0.023735,             0.60733,              0.5533,             0.57305,             0.31352,            0.040285,            0.021443,            0.013148,            0.008779,            0.008779,            0.008779
                  39,            0.045621,            0.037168,            0.023787,              0.6089,             0.55827,             0.57963,             0.31779,            0.040153,            0.021353,            0.012889,            0.008746,            0.008746,            0.008746
                  40,            0.045756,            0.037506,            0.023681,             0.60656,             0.56017,             0.58341,             0.32173,            0.039962,            0.021318,            0.012665,            0.008713,            0.008713,            0.008713
                  41,            0.045466,            0.037326,            0.023224,              0.6217,             0.55868,             0.58543,             0.32327,            0.040006,            0.021239,            0.012677,             0.00868,             0.00868,             0.00868
                  42,            0.045423,            0.037138,            0.023336,             0.62282,             0.56523,             0.58888,             0.32427,            0.039872,            0.021183,            0.012491,            0.008647,            0.008647,            0.008647
                  43,            0.045481,             0.03711,            0.023386,             0.62802,             0.56122,             0.59134,             0.32964,            0.039685,            0.021159,            0.012347,            0.008614,            0.008614,            0.008614
                  44,            0.045368,            0.037255,            0.022712,              0.6254,             0.56459,             0.59502,             0.33188,            0.039551,             0.02113,            0.012167,            0.008581,            0.008581,            0.008581
                  45,            0.045197,            0.036978,            0.023027,             0.62285,             0.57469,             0.59802,             0.33525,            0.039402,            0.021104,            0.012134,            0.008548,            0.008548,            0.008548
                  46,            0.044841,            0.036853,            0.022398,             0.61759,              0.5817,             0.60126,             0.33771,            0.039341,            0.021068,            0.011896,            0.008515,            0.008515,            0.008515
