               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091374,            0.044555,            0.071308,           0.0011424,            0.052612,          0.00069982,          0.00017982,            0.086417,            0.025992,            0.064018,            0.070116,           0.0033205,           0.0033205
                   1,            0.085233,            0.044603,             0.06369,           0.0054724,            0.093366,           0.0031737,           0.0011425,            0.079173,            0.034198,            0.058943,            0.040094,           0.0066318,           0.0066318
                   2,            0.072432,            0.046813,            0.060408,            0.016696,            0.043278,           0.0059117,           0.0017416,            0.074014,             0.02725,            0.055604,             0.01005,           0.0099212,           0.0099212
                   3,            0.063877,            0.044875,            0.055871,             0.28394,            0.097395,            0.045069,            0.014547,            0.061667,            0.027961,             0.04561,            0.009901,            0.009901,            0.009901
                   4,            0.060778,            0.043752,            0.050731,             0.18749,             0.11842,            0.052017,            0.018655,            0.062123,             0.03368,            0.046635,            0.009901,            0.009901,            0.009901
                   5,            0.058595,            0.043084,            0.046435,             0.37324,             0.21251,             0.13871,            0.053306,            0.055858,            0.025761,            0.036449,            0.009868,            0.009868,            0.009868
                   6,            0.057248,            0.042688,            0.043823,             0.27885,             0.23926,             0.16114,            0.062925,             0.05531,            0.025085,            0.035155,            0.009835,            0.009835,            0.009835
                   7,            0.055998,            0.041999,             0.04149,             0.23962,             0.23681,             0.16265,            0.063394,            0.055948,            0.025192,            0.033767,            0.009802,            0.009802,            0.009802
                   8,            0.054962,            0.041554,            0.039736,             0.32345,             0.29233,             0.22254,            0.092536,            0.051947,            0.024531,            0.030028,            0.009769,            0.009769,            0.009769
                   9,            0.053979,            0.040556,            0.038423,             0.30511,             0.30067,             0.23608,            0.099401,            0.051492,             0.02493,            0.029156,            0.009736,            0.009736,            0.009736
                  10,            0.053505,            0.040947,            0.037089,             0.33676,             0.32648,             0.25788,             0.11092,            0.050581,            0.024812,            0.027678,            0.009703,            0.009703,            0.009703
                  11,            0.052757,            0.040925,            0.036098,             0.34816,             0.34083,             0.28097,             0.12446,            0.049254,            0.024504,            0.026144,             0.00967,             0.00967,             0.00967
                  12,            0.052128,             0.04056,            0.034702,             0.34247,             0.34447,             0.28528,             0.12686,            0.049314,            0.024115,            0.025574,            0.009637,            0.009637,            0.009637
                  13,            0.051684,            0.040453,            0.033955,              0.3758,             0.37014,             0.31434,             0.14476,            0.048515,            0.023822,            0.024169,            0.009604,            0.009604,            0.009604
                  14,            0.051476,            0.040128,            0.033127,             0.38762,              0.3848,             0.32033,             0.14588,            0.047474,            0.024142,            0.022836,            0.009571,            0.009571,            0.009571
