               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097238,            0.041653,            0.072127,          0.00096954,            0.047799,            0.000628,          0.00014345,            0.088736,            0.024353,            0.062801,            0.070116,           0.0033205,           0.0033205
                   1,            0.086272,            0.043028,            0.063403,           0.0017466,             0.16459,            0.001986,          0.00055759,            0.079908,            0.032273,            0.058578,            0.040094,           0.0066318,           0.0066318
                   2,            0.071356,            0.045949,            0.060031,             0.17786,            0.019278,           0.0091617,           0.0031487,            0.072915,            0.027595,            0.055011,             0.01005,           0.0099212,           0.0099212
                   3,            0.064663,             0.04422,             0.05583,             0.31644,            0.086217,            0.037386,            0.013209,            0.069178,            0.026621,            0.051473,            0.009901,            0.009901,            0.009901
                   4,            0.061643,             0.04316,            0.050908,             0.27681,             0.15205,            0.087937,            0.033393,            0.059484,            0.029345,            0.043029,            0.009901,            0.009901,            0.009901
                   5,            0.059423,            0.042486,            0.046768,             0.30116,             0.20825,             0.13294,            0.051561,            0.057284,            0.025279,            0.036719,            0.009868,            0.009868,            0.009868
                   6,            0.058285,             0.04228,            0.044059,             0.29566,             0.22403,              0.1504,            0.058297,             0.05619,            0.025357,            0.035085,            0.009835,            0.009835,            0.009835
                   7,            0.056949,            0.041486,            0.041671,             0.26163,             0.24395,             0.17938,            0.073693,            0.055151,            0.025118,            0.032799,            0.009802,            0.009802,            0.009802
                   8,            0.055933,            0.041199,            0.039871,             0.30684,             0.28601,             0.22026,            0.091475,            0.052927,            0.024481,            0.029795,            0.009769,            0.009769,            0.009769
                   9,            0.054997,            0.040154,             0.03854,             0.27062,             0.26524,             0.20937,            0.087795,            0.053511,             0.02596,            0.030696,            0.009736,            0.009736,            0.009736
                  10,            0.054414,            0.040624,            0.037319,             0.33434,             0.32761,             0.26365,             0.11415,            0.050978,            0.024757,            0.027168,            0.009703,            0.009703,            0.009703
                  11,            0.053777,            0.040563,             0.03609,             0.36033,             0.35428,             0.29244,             0.12948,            0.050147,            0.023967,            0.024938,             0.00967,             0.00967,             0.00967
                  12,            0.053044,            0.040247,            0.035023,             0.35882,             0.33818,             0.28844,             0.12994,            0.050309,            0.023852,            0.026532,            0.009637,            0.009637,            0.009637
                  13,            0.052654,            0.040124,            0.034162,             0.37132,             0.38182,             0.32242,             0.14721,            0.048835,            0.023679,            0.023122,            0.009604,            0.009604,            0.009604
                  14,            0.052355,            0.039806,            0.033278,             0.36869,             0.37944,             0.31163,             0.14181,             0.04834,            0.023863,            0.023736,            0.009571,            0.009571,            0.009571
                  15,            0.051696,            0.039448,            0.032649,             0.41026,             0.38876,             0.35247,             0.16464,             0.04855,            0.023403,            0.023235,            0.009538,            0.009538,            0.009538
                  16,            0.051232,            0.039389,            0.031746,             0.43007,             0.40688,             0.37712,             0.17822,            0.047436,            0.022993,            0.020826,            0.009505,            0.009505,            0.009505
                  17,            0.050839,            0.039379,            0.031047,             0.45829,             0.41458,             0.39133,             0.18613,            0.047272,            0.023014,            0.020254,            0.009472,            0.009472,            0.009472
                  18,            0.050608,            0.039403,            0.030673,              0.4567,             0.42008,              0.3935,             0.19017,            0.046336,            0.022971,            0.019915,            0.009439,            0.009439,            0.009439
                  19,            0.050168,            0.038961,            0.030137,             0.49402,             0.44596,             0.43468,             0.21392,            0.045592,            0.022583,            0.019117,            0.009406,            0.009406,            0.009406
                  20,            0.049882,            0.038813,            0.029523,             0.48591,             0.43997,             0.42554,             0.20864,            0.045579,            0.022821,            0.019201,            0.009373,            0.009373,            0.009373
                  21,             0.04982,            0.038935,            0.029078,              0.5017,             0.45593,             0.44557,             0.22249,            0.045097,            0.022494,            0.018299,             0.00934,             0.00934,             0.00934
                  22,            0.049409,            0.039035,             0.02838,              0.4926,              0.4585,             0.45482,             0.22902,            0.044675,            0.022396,            0.018412,            0.009307,            0.009307,            0.009307
                  23,            0.049158,             0.03822,            0.028557,             0.52449,             0.47403,             0.47541,             0.24201,            0.044385,            0.022226,            0.017271,            0.009274,            0.009274,            0.009274
                  24,            0.048861,            0.038491,            0.027733,             0.52705,             0.47881,             0.48514,             0.24651,            0.043768,            0.022371,            0.016653,            0.009241,            0.009241,            0.009241
                  25,            0.048655,            0.038163,            0.027846,             0.52695,             0.48187,             0.48599,             0.24987,            0.043552,            0.022122,            0.016711,            0.009208,            0.009208,            0.009208
                  26,            0.048699,            0.038031,            0.027383,             0.54703,             0.48636,             0.49823,             0.25697,             0.04316,            0.021959,            0.016026,            0.009175,            0.009175,            0.009175
                  27,            0.048598,            0.038442,             0.02691,              0.5524,             0.50428,             0.50784,             0.26554,            0.043001,            0.021936,            0.015774,            0.009142,            0.009142,            0.009142
                  28,            0.048197,            0.038125,            0.026457,             0.56314,             0.50086,             0.51315,             0.26739,            0.042656,            0.021842,            0.015684,            0.009109,            0.009109,            0.009109
                  29,            0.047878,             0.03846,            0.025911,             0.55712,             0.50706,             0.52499,             0.27636,            0.042334,            0.021917,             0.01508,            0.009076,            0.009076,            0.009076
                  30,            0.047697,            0.037811,            0.025716,              0.5615,             0.51945,              0.5296,             0.28141,            0.042195,            0.021647,            0.014541,            0.009043,            0.009043,            0.009043
                  31,            0.047565,            0.037483,            0.025515,             0.57505,             0.52409,             0.53359,             0.28282,            0.041918,            0.021614,            0.014771,             0.00901,             0.00901,             0.00901
                  32,            0.047328,            0.037622,             0.02548,              0.5738,             0.52547,              0.5396,             0.28873,            0.041806,            0.021574,             0.01439,            0.008977,            0.008977,            0.008977
                  33,            0.047229,            0.037776,            0.025337,              0.5802,              0.5293,             0.55145,             0.29615,            0.041664,            0.021522,            0.014272,            0.008944,            0.008944,            0.008944
                  34,            0.047299,            0.037799,            0.025069,             0.58193,             0.53536,             0.55168,               0.298,            0.041353,            0.021472,            0.014083,            0.008911,            0.008911,            0.008911
                  35,            0.046855,            0.037355,            0.024746,             0.59754,             0.53774,             0.55642,             0.29907,            0.041129,            0.021381,            0.013723,            0.008878,            0.008878,            0.008878
                  36,            0.046676,            0.037976,            0.024273,             0.60822,             0.54054,             0.56771,             0.30746,            0.040822,            0.021321,            0.013633,            0.008845,            0.008845,            0.008845
                  37,            0.046818,            0.037548,            0.024472,             0.60692,             0.54528,             0.56919,             0.31129,            0.040706,            0.021311,            0.013594,            0.008812,            0.008812,            0.008812
                  38,            0.046502,            0.037553,             0.02395,              0.6091,             0.54305,             0.57093,             0.31268,            0.040609,            0.021239,            0.013613,            0.008779,            0.008779,            0.008779
                  39,            0.046066,             0.03705,             0.02373,             0.60873,             0.55289,             0.57932,             0.31865,            0.040458,            0.021135,            0.013305,            0.008746,            0.008746,            0.008746
                  40,            0.046306,            0.037328,             0.02366,             0.62253,             0.55811,             0.58702,               0.325,            0.040316,            0.021103,            0.013069,            0.008713,            0.008713,            0.008713
                  41,            0.045998,            0.037183,            0.023302,             0.61207,             0.57106,              0.5902,             0.32825,            0.040245,            0.021046,            0.012784,             0.00868,             0.00868,             0.00868
                  42,             0.04597,            0.036998,            0.023603,             0.62841,             0.55903,             0.59294,             0.33118,            0.040109,            0.020998,            0.012784,            0.008647,            0.008647,            0.008647
                  43,            0.045923,            0.036981,            0.023429,             0.63054,             0.56825,             0.59855,             0.33375,            0.039959,            0.020964,            0.012555,            0.008614,            0.008614,            0.008614
                  44,            0.045875,            0.037026,            0.022773,             0.63122,             0.56765,              0.6016,             0.33606,            0.039785,            0.020928,            0.012461,            0.008581,            0.008581,            0.008581
                  45,             0.04558,            0.036843,            0.023074,             0.63483,              0.5714,             0.60341,              0.3376,            0.039624,            0.020916,             0.01235,            0.008548,            0.008548,            0.008548
                  46,            0.045262,            0.036636,            0.022374,             0.64197,              0.5722,             0.60886,             0.34195,            0.039544,            0.020862,            0.012067,            0.008515,            0.008515,            0.008515
                  47,            0.045433,             0.03707,            0.022793,             0.63623,             0.58029,             0.61142,             0.34405,            0.039441,            0.020891,            0.011909,            0.008482,            0.008482,            0.008482
                  48,            0.045257,            0.036954,            0.022511,             0.64214,             0.57805,             0.61383,             0.34552,            0.039347,            0.020865,            0.011827,            0.008449,            0.008449,            0.008449
                  49,            0.045051,            0.037147,            0.022429,             0.64349,              0.5835,             0.61585,             0.34746,            0.039252,            0.020839,            0.011819,            0.008416,            0.008416,            0.008416
                  50,            0.045178,            0.036723,            0.022241,             0.64327,             0.58828,             0.61792,              0.3499,            0.039181,            0.020816,            0.011725,            0.008383,            0.008383,            0.008383
                  51,            0.044841,            0.036366,            0.022227,             0.63745,             0.58869,             0.61899,             0.35176,            0.039104,            0.020776,            0.011675,             0.00835,             0.00835,             0.00835
                  52,             0.04508,             0.03646,             0.02151,             0.64271,              0.5853,             0.62053,             0.35326,            0.039042,            0.020743,            0.011599,            0.008317,            0.008317,            0.008317
                  53,            0.045089,            0.036598,            0.021838,             0.64079,             0.59443,             0.62307,             0.35513,            0.039016,              0.0207,            0.011525,            0.008284,            0.008284,            0.008284
                  54,            0.044868,            0.036368,            0.021673,              0.6505,             0.58939,             0.62593,             0.35658,            0.038973,            0.020701,            0.011436,            0.008251,            0.008251,            0.008251
                  55,            0.044747,            0.036555,            0.021598,             0.64904,             0.59239,             0.62724,             0.35777,            0.038957,            0.020686,            0.011406,            0.008218,            0.008218,            0.008218
                  56,            0.044791,            0.036504,            0.021745,             0.64587,             0.59632,             0.62912,             0.35902,            0.038897,            0.020666,            0.011383,            0.008185,            0.008185,            0.008185
                  57,             0.04469,            0.036613,            0.021104,             0.64394,             0.59925,              0.6307,             0.36088,            0.038827,            0.020645,             0.01132,            0.008152,            0.008152,            0.008152
                  58,            0.044572,            0.036526,            0.021255,             0.64662,             0.60163,             0.63168,             0.36246,            0.038779,            0.020633,            0.011237,            0.008119,            0.008119,            0.008119
                  59,            0.044395,            0.036479,            0.020934,             0.65419,             0.59824,             0.63272,             0.36358,            0.038726,             0.02061,            0.011191,            0.008086,            0.008086,            0.008086
                  60,             0.04446,            0.035969,            0.020878,             0.65215,             0.60195,             0.63393,             0.36449,            0.038671,            0.020587,            0.011146,            0.008053,            0.008053,            0.008053
                  61,            0.044193,            0.036044,            0.020697,             0.65158,             0.60161,             0.63548,              0.3666,             0.03861,            0.020577,             0.01109,             0.00802,             0.00802,             0.00802
                  62,            0.043874,            0.035902,            0.020588,             0.64864,             0.60281,             0.63654,             0.36789,            0.038561,            0.020565,            0.011051,            0.007987,            0.007987,            0.007987
                  63,            0.044106,            0.036286,            0.020702,             0.65219,             0.60321,             0.63738,             0.36912,            0.038524,             0.02055,            0.011006,            0.007954,            0.007954,            0.007954
                  64,            0.043955,            0.036101,            0.020274,             0.65303,             0.60321,             0.63876,              0.3702,            0.038499,            0.020536,            0.010956,            0.007921,            0.007921,            0.007921
                  65,            0.043978,            0.035823,            0.020871,             0.65235,             0.60573,             0.63998,             0.37135,            0.038463,            0.020527,            0.010929,            0.007888,            0.007888,            0.007888
                  66,            0.044101,            0.036089,            0.020572,             0.65728,             0.60666,             0.64207,             0.37281,            0.038436,            0.020507,            0.010895,            0.007855,            0.007855,            0.007855
                  67,            0.043827,            0.035886,            0.020158,             0.65099,             0.61257,             0.64278,              0.3741,            0.038407,            0.020492,            0.010865,            0.007822,            0.007822,            0.007822
                  68,            0.043834,             0.03584,            0.020004,             0.65453,             0.61275,             0.64391,             0.37484,             0.03838,            0.020477,            0.010836,            0.007789,            0.007789,            0.007789
                  69,            0.043662,             0.03593,            0.019886,             0.65805,             0.61313,             0.64477,             0.37632,            0.038355,            0.020458,            0.010814,            0.007756,            0.007756,            0.007756
                  70,             0.04365,            0.035847,             0.01997,              0.6604,               0.614,             0.64588,             0.37681,            0.038336,            0.020446,            0.010803,            0.007723,            0.007723,            0.007723
                  71,            0.043656,             0.03566,            0.020094,             0.66139,             0.61354,             0.64649,             0.37763,            0.038312,            0.020433,            0.010783,             0.00769,             0.00769,             0.00769
                  72,            0.043541,            0.035783,            0.019781,             0.66278,             0.61295,             0.64706,             0.37886,            0.038289,            0.020422,            0.010758,            0.007657,            0.007657,            0.007657
                  73,            0.043382,            0.035775,            0.019726,             0.66253,               0.612,             0.64802,             0.37914,            0.038267,             0.02041,             0.01073,            0.007624,            0.007624,            0.007624
                  74,            0.043324,            0.035869,            0.019696,             0.66207,             0.61288,             0.64879,             0.38025,            0.038247,            0.020397,            0.010727,            0.007591,            0.007591,            0.007591
                  75,            0.043193,            0.035984,            0.019869,             0.66043,             0.61525,             0.64974,             0.38098,            0.038225,            0.020382,             0.01071,            0.007558,            0.007558,            0.007558
                  76,            0.043265,            0.035696,            0.019459,             0.66116,             0.61461,             0.65047,              0.3816,              0.0382,            0.020365,            0.010689,            0.007525,            0.007525,            0.007525
                  77,            0.043041,             0.03549,            0.019307,             0.66151,              0.6148,             0.65147,              0.3821,            0.038184,            0.020354,            0.010666,            0.007492,            0.007492,            0.007492
                  78,            0.043005,            0.035356,            0.019553,             0.66186,             0.61534,             0.65177,             0.38278,            0.038163,            0.020341,            0.010648,            0.007459,            0.007459,            0.007459
                  79,            0.043344,             0.03551,            0.019574,             0.66337,             0.61542,             0.65223,             0.38337,            0.038142,            0.020333,            0.010633,            0.007426,            0.007426,            0.007426
                  80,            0.042993,            0.035612,            0.019145,             0.66451,             0.61571,             0.65274,             0.38443,            0.038125,            0.020325,            0.010623,            0.007393,            0.007393,            0.007393
                  81,            0.043042,             0.03555,            0.019249,             0.66465,             0.61596,             0.65351,             0.38464,            0.038103,            0.020317,            0.010613,             0.00736,             0.00736,             0.00736
                  82,            0.042707,             0.03532,            0.019061,             0.66652,             0.61423,             0.65385,             0.38496,            0.038083,            0.020307,            0.010602,            0.007327,            0.007327,            0.007327
                  83,            0.043033,            0.035412,            0.018697,             0.66854,             0.61328,             0.65435,             0.38564,            0.038064,            0.020299,            0.010591,            0.007294,            0.007294,            0.007294
                  84,            0.042872,            0.035564,            0.018918,             0.66886,             0.61216,             0.65444,             0.38631,            0.038042,            0.020291,            0.010574,            0.007261,            0.007261,            0.007261
                  85,            0.042729,            0.035418,            0.018649,             0.66991,             0.61109,             0.65541,             0.38659,            0.038026,             0.02028,            0.010563,            0.007228,            0.007228,            0.007228
                  86,            0.042661,            0.035655,            0.019098,             0.66789,             0.61174,             0.65575,             0.38741,            0.038007,            0.020272,            0.010561,            0.007195,            0.007195,            0.007195
                  87,            0.042796,            0.035244,            0.018615,             0.66937,             0.61185,             0.65559,             0.38754,            0.037981,            0.020262,             0.01055,            0.007162,            0.007162,            0.007162
                  88,             0.04272,            0.035594,            0.018673,              0.6695,              0.6149,             0.65639,             0.38845,            0.037957,            0.020253,             0.01053,            0.007129,            0.007129,            0.007129
                  89,            0.042635,            0.035496,            0.018772,             0.67179,             0.61467,             0.65716,             0.38909,            0.037933,            0.020244,            0.010518,            0.007096,            0.007096,            0.007096
                  90,            0.042734,             0.03529,             0.01846,             0.67543,             0.61365,             0.65793,             0.38991,            0.037911,            0.020231,            0.010504,            0.007063,            0.007063,            0.007063
                  91,            0.042367,            0.035174,            0.018092,             0.67658,             0.61271,             0.65871,             0.39042,            0.037887,            0.020221,            0.010484,             0.00703,             0.00703,             0.00703
                  92,            0.042493,            0.035608,            0.017937,             0.67722,             0.61399,             0.65945,             0.39081,            0.037866,             0.02021,            0.010462,            0.006997,            0.006997,            0.006997
                  93,            0.042194,            0.034969,            0.018429,             0.67959,             0.61524,             0.66071,             0.39161,             0.03785,            0.020196,            0.010445,            0.006964,            0.006964,            0.006964
                  94,              0.0425,            0.035269,            0.018322,             0.68202,              0.6151,             0.66102,             0.39203,            0.037831,            0.020186,            0.010432,            0.006931,            0.006931,            0.006931
                  95,            0.042497,            0.035617,            0.018259,             0.68401,             0.61473,             0.66192,             0.39244,             0.03781,            0.020178,            0.010415,            0.006898,            0.006898,            0.006898
                  96,            0.042213,            0.035077,            0.018125,             0.68594,             0.61537,             0.66233,             0.39305,            0.037793,            0.020166,            0.010402,            0.006865,            0.006865,            0.006865
                  97,            0.042288,            0.034925,            0.017885,             0.68705,             0.61599,              0.6626,             0.39349,            0.037775,            0.020158,            0.010384,            0.006832,            0.006832,            0.006832
                  98,            0.042295,            0.035406,            0.017975,             0.68861,             0.61613,             0.66333,             0.39406,            0.037756,            0.020148,            0.010367,            0.006799,            0.006799,            0.006799
                  99,            0.042096,            0.035225,            0.017585,             0.69135,             0.61469,             0.66348,             0.39465,            0.037741,            0.020136,            0.010353,            0.006766,            0.006766,            0.006766
                 100,            0.042108,            0.035032,            0.017736,             0.68977,             0.61569,             0.66471,             0.39522,            0.037724,            0.020126,            0.010333,            0.006733,            0.006733,            0.006733
                 101,            0.041818,            0.035162,            0.017612,             0.68977,             0.61527,              0.6653,             0.39566,            0.037707,            0.020114,            0.010313,              0.0067,              0.0067,              0.0067
                 102,            0.041805,            0.034935,            0.017693,             0.69192,             0.61482,             0.66617,             0.39593,            0.037689,            0.020102,            0.010295,            0.006667,            0.006667,            0.006667
                 103,            0.042024,            0.034803,            0.017711,             0.69185,             0.61584,             0.66632,             0.39664,            0.037668,             0.02009,            0.010272,            0.006634,            0.006634,            0.006634
                 104,            0.041904,            0.035136,            0.017719,              0.6908,             0.61644,              0.6669,             0.39722,            0.037648,            0.020077,            0.010252,            0.006601,            0.006601,            0.006601
                 105,            0.041782,            0.035309,            0.017113,             0.68629,             0.61953,             0.66728,             0.39791,            0.037628,            0.020067,            0.010226,            0.006568,            0.006568,            0.006568
                 106,            0.041707,            0.035067,            0.017423,             0.68828,             0.61885,             0.66786,             0.39814,            0.037613,            0.020057,            0.010215,            0.006535,            0.006535,            0.006535
                 107,            0.041678,             0.03468,            0.017489,             0.68881,             0.61803,             0.66843,             0.39892,            0.037595,            0.020046,            0.010194,            0.006502,            0.006502,            0.006502
                 108,            0.041676,            0.035143,            0.017215,             0.68821,             0.61945,             0.66912,             0.39941,            0.037579,            0.020036,            0.010176,            0.006469,            0.006469,            0.006469
                 109,            0.041626,            0.034773,            0.017392,             0.68582,             0.62154,              0.6699,             0.40014,            0.037558,            0.020025,            0.010152,            0.006436,            0.006436,            0.006436
